"Date","DCM"
"10/12/1993",5527
"11/12/1993",22030
"14/12/1993",98128
"17/12/1993",146283
"19/12/1993",165655
"22/12/1993",182517
"26/12/1993",195850
"31/12/1993",211392
"4/01/1994",226478
"7/01/1994",242015
"14/01/1994",252476
"23/01/1994",241052
"27/01/1994",263947
"29/01/1994",281533
"30/01/1994",316502
"3/02/1994",334170
"4/02/1994",354077
"5/02/1994",423774
"8/02/1994",319416
"9/02/1994",302392
"11/02/1994",234499
"14/02/1994",225854
"17/02/1994",217209
"19/02/1994",201879
"25/02/1994",242222
"3/03/1994",225916
"5/03/1994",211596
"8/03/1994",195691
"13/03/1994",181111
"17/03/1994",209641
"25/03/1994",224125
"30/03/1994",206429
"3/04/1994",190090
"8/04/1994",180676
"13/04/1994",196995
"16/04/1994",175605
"17/04/1994",155053
"18/04/1994",134502
"19/04/1994",113950
"21/04/1994",93347
"24/04/1994",76192
"28/04/1994",105387
"30/04/1994",124175
"7/05/1994",141761
"15/05/1994",131475
"22/05/1994",151468
"28/05/1994",149313
"31/05/1994",132099
"4/06/1994",124251
"12/06/1994",126740
"18/06/1994",126935
"20/06/1994",110985
"24/06/1994",93882
"25/06/1994",88516
"4/07/1994",106746
"11/07/1994",116131
"14/07/1994",134560
"15/07/1994",146260
"17/07/1994",161904
"18/07/1994",177088
"23/07/1994",193972
"31/07/1994",197068
"6/08/1994",201065
"11/08/1994",219449
"15/08/1994",206688
"16/08/1994",188897
"18/08/1994",173662
"19/08/1994",156280
"24/08/1994",138731
"25/08/1994",137518
"3/09/1994",140906
"12/09/1994",135775
"21/09/1994",134911
"25/09/1994",111189
"29/09/1994",91762
"4/10/1994",108960
"6/10/1994",129492
"9/10/1994",148318
"15/10/1994",151873
"23/10/1994",143471
"1/11/1994",151056
"7/11/1994",142150
"14/11/1994",130644
"20/11/1994",126176
"26/11/1994",119797
"1/12/1994",130616
"8/12/1994",113030
"11/12/1994",108580
"19/12/1994",115921
"28/12/1994",114052
"5/01/1995",119099
"14/01/1995",130142
"21/01/1995",127280
"29/01/1995",116060
"4/02/1995",118193
"7/02/1995",137825
"11/02/1995",156168
"18/02/1995",142481
"19/02/1995",128553
"21/02/1995",112945
"24/02/1995",101834
"5/03/1995",116004
"12/03/1995",110678
"19/03/1995",100081
"28/03/1995",105603
"5/04/1995",116752
"12/04/1995",122794
"15/04/1995",103623
"18/04/1995",85525
"20/04/1995",67711
"24/04/1995",53361
"1/05/1995",44784
"10/05/1995",51923
"16/05/1995",70760
"19/05/1995",90652
"28/05/1995",71914
"2/06/1995",69881
"6/06/1995",87716
"8/06/1995",101786
"14/06/1995",116227
"20/06/1995",112396
"24/06/1995",98492
"2/07/1995",87404
"9/07/1995",73841
"18/07/1995",70383
"25/07/1995",57203
"30/07/1995",53210
"8/08/1995",69145
"10/08/1995",77550
"13/08/1995",55465
"15/08/1995",41354
"16/08/1995",26938
"22/08/1995",9198
"27/08/1995",26094
"28/08/1995",48103
"30/08/1995",69728
"3/09/1995",92887
"10/09/1995",83798
"11/09/1995",67939
"13/09/1995",52934
"16/09/1995",35015
